price,price_per_m2,area,district,floors,toilets,bedrooms,balcony,street_frontage,legal,interior,date,district_encoded
70 triệu/m²,"~4,76 tỷ",68.0,Hoàng Mai,,2 phòng,2 phòng,1,0.0,1,1,2024-09-24,8
"6,1 tỷ","~67,78 triệu/m²",90.0,Nam Từ Liêm,,2 phòng,2 phòng,1,0.0,1,1,2024-10-01,12
60 triệu/m²,"~3,82 tỷ",63.7,Gia Lâm,,2 phòng,3 phòng,0,0.0,1,1,2024-10-03,4
"18,5 tỷ","~246,67 triệu/m²",75.0,Đông Anh,5 tầng,,,1,5.0,1,0,2024-10-09,25
"9,5 tỷ","~84,07 triệu/m²",113.0,Nam Từ Liêm,,3 phòng,3 phòng,1,0.0,1,1,2024-10-12,12
92 triệu/m²,"~8,1 tỷ",88.0,Nam Từ Liêm,,,2 phòng,0,0.0,1,1,2024-10-12,12
"2,5 tỷ","~78,62 triệu/m²",31.8,Nam Từ Liêm,,1 phòng,1 phòng,1,0.0,1,1,2024-10-16,12
Thỏa thuận,,43.0,Gia Lâm,,1 phòng,1 phòng,0,0.0,1,0,2024-10-23,4
Thỏa thuận,,145.0,Hoàng Mai,,2 phòng,3 phòng,1,0.0,1,0,2024-11-05,8
Thỏa thuận,,90.0,Đông Anh,,,3 phòng,0,0.0,1,0,2024-11-13,25
Thỏa thuận,,45.0,Gia Lâm,,1 phòng,1 phòng,1,0.0,1,1,2024-11-14,4
Thỏa thuận,,64.0,Đông Anh,,2 phòng,2 phòng,1,0.0,1,1,2024-11-22,25
"44,19 tỷ","~312,5 triệu/m²",141.4,Đông Anh,5 tầng,4 phòng,5 phòng,1,20.0,1,1,2024-11-27,25
Thỏa thuận,,60.0,Đông Anh,,2 phòng,2 phòng,1,0.0,1,1,2024-12-10,25
"28,6 tỷ","~381,33 triệu/m²",75.0,Đông Anh,,,,1,5.0,1,1,2024-12-17,25
"18,6 tỷ","~364,71 triệu/m²",51.0,Long Biên,8 tầng,4 phòng,3 phòng,0,5.0,1,1,2025-02-05,10
"7,5 tỷ","~220,59 triệu/m²",34.0,Long Biên,6 tầng,4 phòng,3 phòng,1,7.0,1,1,2025-02-05,10
"6,6 tỷ",~200 triệu/m²,33.0,Long Biên,5 tầng,4 phòng,3 phòng,1,3.8,1,1,2025-02-05,10
298 tỷ,,260.0,Ba Đình,9 tầng,32 phòng,30 phòng,1,16.0,1,1,2025-02-05,0
"35,6 tỷ",~356 triệu/m²,100.0,Long Biên,7 tầng,5 phòng,4 phòng,1,6.0,1,1,2025-02-05,10
29 tỷ,~725 triệu/m²,40.0,Ba Đình,4 tầng,3 phòng,3 phòng,0,5.0,1,0,2025-02-05,0
"5,9 tỷ","~184,38 triệu/m²",32.0,Long Biên,5 tầng,4 phòng,3 phòng,1,3.8,1,1,2025-02-05,10
6 tỷ,~80 triệu/m²,75.0,Nam Từ Liêm,,2 phòng,2 phòng,1,0.0,1,0,2025-02-06,12
"27,9 tỷ","~273,53 triệu/m²",102.0,Long Biên,8 tầng,4 phòng,4 phòng,1,5.0,1,1,2025-02-06,10
"26,6 tỷ","~295,56 triệu/m²",90.0,Long Biên,8 tầng,6 phòng,6 phòng,1,4.5,1,1,2025-02-06,10
"7,5 tỷ","~202,7 triệu/m²",37.0,Long Biên,6 tầng,4 phòng,3 phòng,1,4.5,1,1,2025-02-07,10
"9,5 tỷ","~77,87 triệu/m²",122.0,Hai Bà Trưng,,2 phòng,3 phòng,0,0.0,1,1,2025-02-08,5
13 tỷ,"~86,67 triệu/m²",150.0,Hai Bà Trưng,,3 phòng,4 phòng,0,0.0,1,1,2025-02-08,5
"13,2 tỷ",~264 triệu/m²,50.0,Long Biên,6 tầng,4 phòng,3 phòng,1,4.26,1,1,2025-02-08,10
"6,95 tỷ","~182,9 triệu/m²",38.0,Long Biên,6 tầng,4 phòng,3 phòng,1,5.5,1,1,2025-02-10,10
"22,8 tỷ","~271,43 triệu/m²",84.0,Long Biên,7 tầng,5 phòng,4 phòng,1,5.7,1,1,2025-02-10,10
"6,25 tỷ","~195,31 triệu/m²",32.0,Long Biên,5 tầng,4 phòng,3 phòng,1,6.6,1,1,2025-02-10,10
54 tỷ,"~187,5 triệu/m²",288.0,Gia Lâm,5 tầng,,,0,16.0,0,0,2025-02-10,4
"21,5 tỷ","~330,77 triệu/m²",65.0,Thanh Xuân,4 tầng,3 phòng,4 phòng,0,4.6,1,1,2025-02-10,20
"21,6 tỷ","~257,14 triệu/m²",84.0,Long Biên,7 tầng,5 phòng,4 phòng,1,5.7,1,1,2025-02-10,10
"7,5 tỷ","~120,97 triệu/m²",62.0,Hoàng Mai,3 tầng,2 phòng,3 phòng,1,5.35,1,1,2025-02-10,8
"5,8 tỷ","~89,23 triệu/m²",65.0,Nam Từ Liêm,,2 phòng,2 phòng,1,0.0,1,1,2025-02-12,12
7 tỷ,"~91,15 triệu/m²",76.8,Cầu Giấy,,2 phòng,2 phòng,1,0.0,1,1,2025-02-12,3
36 tỷ,~360 triệu/m²,100.0,Tây Hồ,8 tầng,22 phòng,22 phòng,1,7.0,1,1,2025-02-13,23
"12,19 tỷ","~100,74 triệu/m²",121.0,Cầu Giấy,,2 phòng,2 phòng,1,0.0,0,0,2025-02-14,3
25 tỷ,"~277,78 triệu/m²",90.0,Long Biên,7 tầng,5 phòng,4 phòng,1,5.0,1,1,2025-02-14,10
19 tỷ,"~237,5 triệu/m²",80.0,Đông Anh,5 tầng,6 phòng,8 phòng,0,6.0,0,0,2025-02-14,25
"2,95 tỷ","~53,64 triệu/m²",55.0,Hoàng Mai,,2 phòng,2 phòng,1,0.0,1,1,2025-02-16,8
"5,9 tỷ","~63,44 triệu/m²",93.0,Thanh Trì,,2 phòng,3 phòng,0,0.0,1,0,2025-02-17,19
"4,56 tỷ","~62,47 triệu/m²",73.0,Thanh Trì,,2 phòng,2 phòng,0,0.0,1,0,2025-02-17,19
"2,55 tỷ","~141,67 triệu/m²",18.0,Hoàn Kiếm,4 tầng,4 phòng,3 phòng,0,4.0,1,0,2025-02-18,7
"14,2 tỷ","~184,42 triệu/m²",77.0,Ba Đình,4 tầng,4 phòng,6 phòng,1,9.5,0,0,2025-02-18,0
"11,2 tỷ","~138,27 triệu/m²",81.0,Thường Tín,,,,0,0.0,1,1,2025-02-19,21
"2,65 tỷ","~44,92 triệu/m²",59.0,Gia Lâm,,1 phòng,2 phòng,0,0.0,1,0,2025-02-19,4
Thỏa thuận,,91.5,Hà Đông,,3 phòng,3 phòng,0,0.0,0,0,2025-02-19,9
"4,8 tỷ","~26,09 triệu/m²",184.0,Quốc Oai,3 tầng,4 phòng,4 phòng,0,5.0,1,0,2025-02-19,15
"3,8 tỷ","~63,33 triệu/m²",60.0,Gia Lâm,3 tầng,,,0,3.5,1,0,2025-02-19,4
"6,45 tỷ","~184,29 triệu/m²",35.0,Long Biên,5 tầng,4 phòng,3 phòng,1,4.05,1,1,2025-02-19,10
"5,15 tỷ","~183,93 triệu/m²",28.0,Đống Đa,4 tầng,5 phòng,4 phòng,0,5.0,1,0,2025-02-19,26
"2,2 tỷ","~73,33 triệu/m²",30.0,Gia Lâm,,1 phòng,1 phòng,1,0.0,1,1,2025-02-19,4
"8,5 tỷ","~78,7 triệu/m²",108.0,Long Biên,,,3 phòng,0,0.0,1,0,2025-02-19,10
45 tỷ,"~416,67 triệu/m²",108.0,Hoàng Mai,,,,1,10.0,1,1,2025-02-19,8
Thỏa thuận,,30.0,Gia Lâm,,,,1,0.0,1,1,2025-02-19,4
"24,5 tỷ","~255,21 triệu/m²",96.0,Hà Đông,5 tầng,,,0,5.0,1,1,2025-02-19,9
Thỏa thuận,,34.0,Thanh Xuân,6 tầng,,3 phòng,0,0.0,1,1,2025-02-19,20
Thỏa thuận,,76.0,Hoàng Mai,,2 phòng,2 phòng,1,0.0,1,1,2025-02-20,8
"9,5 tỷ",~190 triệu/m²,50.0,Nam Từ Liêm,,,,0,5.0,1,0,2025-02-20,12
15 tỷ,"~93,75 triệu/m²",160.0,Gia Lâm,,,,0,0.0,1,0,2025-02-20,4
"1,79 tỷ","~32,54 triệu/m²",55.0,Thanh Xuân,,2 phòng,2 phòng,0,0.0,1,1,2025-02-20,20
Thỏa thuận,,139.2,Đông Anh,,,,0,0.0,1,0,2025-02-20,25
110 triệu/m²,"~191,96 tỷ",1.745,Nam Từ Liêm,,,,0,0.0,0,0,2025-02-20,12
"3,15 tỷ",~45 triệu/m²,70.0,Gia Lâm,,2 phòng,2 phòng,0,0.0,1,1,2025-02-20,4
4 tỷ,"~55,56 triệu/m²",72.0,Hai Bà Trưng,,2 phòng,2 phòng,1,0.0,1,1,2025-02-20,5
Thỏa thuận,,259.41,Hoài Đức,3 tầng,,,0,0.0,1,0,2025-02-20,6
"25,5 tỷ","~455,36 triệu/m²",56.0,Hoàng Mai,5 tầng,9 phòng,9 phòng,1,4.1,1,1,2025-02-20,8
Thỏa thuận,,67.0,Gia Lâm,,2 phòng,2 phòng,1,0.0,1,1,2025-02-20,4
Thỏa thuận,,88.0,Đan Phượng,5 tầng,4 phòng,4 phòng,1,7.0,1,1,2025-02-20,24
"3,2 tỷ","~68,08 triệu/m²",47.0,Gia Lâm,,1 phòng,1 phòng,1,0.0,1,1,2025-02-20,4
Thỏa thuận,,230.0,Hà Đông,3 tầng,4 phòng,4 phòng,0,0.0,1,1,2025-02-20,9
"4,25 tỷ","~77,98 triệu/m²",54.5,Hà Đông,,1 phòng,2 phòng,1,0.0,1,1,2025-02-20,9
"11,38 tỷ","~85,4 triệu/m²",133.2,Mê Linh,4 tầng,,,1,6.0,1,1,2025-02-20,11
Thỏa thuận,,45.0,Đông Anh,,,,0,0.0,0,0,2025-02-20,25
"4,05 tỷ","~57,04 triệu/m²",71.0,Hà Đông,,2 phòng,2 phòng,1,0.0,1,1,2025-02-20,9
16 tỷ,"~135,82 triệu/m²",117.8,Ba Đình,,2 phòng,3 phòng,1,0.0,1,0,2025-02-20,0
17 tỷ,"~188,89 triệu/m²",90.0,Hà Đông,5 tầng,5 phòng,6 phòng,0,4.5,1,1,2025-02-20,9
Thỏa thuận,,65.0,Đông Anh,,2 phòng,2 phòng,1,0.0,1,0,2025-02-20,25
Thỏa thuận,,88.0,Đan Phượng,,,,0,0.0,0,0,2025-02-20,24
"2,65 tỷ","~61,63 triệu/m²",43.0,Nam Từ Liêm,,1 phòng,1 phòng,0,0.0,1,1,2025-02-20,12
22 tỷ,"~233,3 triệu/m²",94.3,Ba Đình,3 tầng,3 phòng,3 phòng,0,6.35,1,0,2025-02-20,0
18 tỷ,~200 triệu/m²,90.0,Hà Đông,5 tầng,6 phòng,6 phòng,1,4.5,1,1,2025-02-20,9
21 tỷ,"~161,54 triệu/m²",130.0,Hoài Đức,,,,1,7.0,0,0,2025-02-20,6
"8,75 tỷ","~72,92 triệu/m²",120.0,Thanh Xuân,,1 phòng,3 phòng,0,0.0,1,1,2025-02-20,20
"5,95 tỷ","~72,56 triệu/m²",82.0,Nam Từ Liêm,,2 phòng,3 phòng,1,0.0,1,1,2025-02-20,12
11 tỷ,"~91,67 triệu/m²",120.0,Nam Từ Liêm,,2 phòng,3 phòng,1,0.0,1,1,2025-02-20,12
5 tỷ,"~64,1 triệu/m²",78.0,Hoàng Mai,,2 phòng,2 phòng,0,0.0,1,1,2025-02-20,8
"7,8 tỷ","~86,67 triệu/m²",90.0,Nam Từ Liêm,,2 phòng,2 phòng,1,0.0,1,1,2025-02-20,12
"8,9 tỷ",~89 triệu/m²,100.0,Nam Từ Liêm,,2 phòng,3 phòng,1,0.0,1,1,2025-02-20,12
Thỏa thuận,,88.0,Đan Phượng,,,,0,0.0,1,0,2025-02-20,24
Thỏa thuận,,106.0,Ba Đình,,,3 phòng,0,0.0,0,1,2025-02-20,0
Thỏa thuận,,145.0,Tây Hồ,,3 phòng,3 phòng,0,0.0,1,1,2025-02-20,23
"14,7 tỷ",~294 triệu/m²,50.0,Hà Đông,5 tầng,,,0,0.0,1,1,2025-02-20,9
"6,4 tỷ","~88,89 triệu/m²",72.0,Nam Từ Liêm,,2 phòng,2 phòng,1,0.0,1,0,2025-02-20,12
6 tỷ,"~75,95 triệu/m²",79.0,Nam Từ Liêm,,2 phòng,2 phòng,1,0.0,1,1,2025-02-20,12
32 tỷ,"~457,14 triệu/m²",70.0,Cầu Giấy,8 tầng,8 phòng,8 phòng,0,0.0,1,0,2025-02-20,3
"23,4 tỷ",~180 triệu/m²,130.0,Hoài Đức,4 tầng,3 phòng,4 phòng,0,6.82,1,1,2025-02-20,6
16 tỷ,"~301,89 triệu/m²",53.0,Cầu Giấy,5 tầng,5 phòng,8 phòng,0,0.0,0,0,2025-02-20,3
29 tỷ,"~386,67 triệu/m²",75.0,Cầu Giấy,5 tầng,4 phòng,7 phòng,0,0.0,1,1,2025-02-20,3
Thỏa thuận,,118.0,Bắc Từ Liêm,,2 phòng,3 phòng,0,0.0,1,1,2025-02-20,1
"15,5 tỷ","~120,16 triệu/m²",129.0,Bắc Từ Liêm,,2 phòng,3 phòng,1,0.0,1,1,2025-02-20,1
"7,3 tỷ","~202,78 triệu/m²",36.0,Hoàng Mai,5 tầng,8 phòng,8 phòng,0,32.0,1,1,2025-02-21,8
"5,98 tỷ","~72,05 triệu/m²",83.0,Hai Bà Trưng,,2 phòng,2 phòng,0,0.0,1,1,2025-02-21,5
"2,7 tỷ","~79,41 triệu/m²",34.0,Chương Mỹ,,4 phòng,3 phòng,0,4.45,1,1,2025-02-21,2
"6,58 tỷ","~55,76 triệu/m²",118.0,Hai Bà Trưng,,2 phòng,3 phòng,0,0.0,1,1,2025-02-21,5
16 tỷ,"~355,56 triệu/m²",45.0,Long Biên,7 tầng,4 phòng,3 phòng,1,8.6,1,1,2025-02-21,10
750 triệu/m²,"~127,5 tỷ",170.0,Nam Từ Liêm,4 tầng,5 phòng,4 phòng,0,10.0,1,1,2025-02-21,12
"6,58 tỷ","~57,22 triệu/m²",115.0,Hai Bà Trưng,,2 phòng,3 phòng,1,0.0,1,1,2025-02-21,5
"13,3 tỷ","~241,82 triệu/m²",55.0,Hoàng Mai,5 tầng,4 phòng,7 phòng,1,3.5,1,1,2025-02-21,8
Thỏa thuận,,45.0,Đông Anh,,,1 phòng,1,0.0,1,0,2025-02-21,25
Thỏa thuận,,62.0,Nam Từ Liêm,,,,0,0.0,1,1,2025-02-21,12
58 triệu/m²,"~13,92 tỷ",240.0,Thạch Thất,3 tầng,4 phòng,4 phòng,1,10.0,1,1,2025-02-21,22
"8,4 tỷ",~210 triệu/m²,40.0,Hai Bà Trưng,5 tầng,3 phòng,3 phòng,0,6.6,1,1,2025-02-21,5
"127,1 tỷ","~598,12 triệu/m²",212.5,Đông Anh,5 tầng,6 phòng,10 phòng,1,12.5,1,1,2025-02-21,25
Thỏa thuận,,56.0,Nam Từ Liêm,3 tầng,2 phòng,3 phòng,1,4.3,1,1,2025-02-21,12
"15,6 tỷ","~61,66 triệu/m²",253.0,Thạch Thất,3 tầng,4 phòng,4 phòng,1,12.0,1,0,2025-02-21,22
13 tỷ,"~216,65 triệu/m²",60.0,Cầu Giấy,6 tầng,16 phòng,16 phòng,0,4.5,1,1,2025-02-21,3
"27,5 tỷ","~366,67 triệu/m²",75.0,Hoàng Mai,,,,0,5.0,1,1,2025-02-21,8
Thỏa thuận,,70.0,Thanh Xuân,,,2 phòng,0,0.0,0,0,2025-02-21,20
"25,5 tỷ",~250 triệu/m²,102.0,Hoài Đức,4 tầng,4 phòng,6 phòng,1,18.0,1,0,2025-02-21,6
Thỏa thuận,,80.0,Hoài Đức,5 tầng,4 phòng,6 phòng,1,5.0,1,1,2025-02-21,6
"20,5 tỷ","~170,83 triệu/m²",120.0,Hà Đông,,,,1,6.0,1,1,2025-02-21,9
"5,5 tỷ","~122,22 triệu/m²",45.0,Bắc Từ Liêm,3 tầng,3 phòng,4 phòng,1,0.0,1,0,2025-02-21,1
"5,56 tỷ","~69,5 triệu/m²",80.0,Long Biên,,2 phòng,2 phòng,0,0.0,1,1,2025-02-21,10
Thỏa thuận,,500.0,Ba Đình,,4 phòng,4 phòng,0,0.0,1,1,2025-02-21,0
"8,28 tỷ","~76,67 triệu/m²",108.0,Long Biên,,2 phòng,3 phòng,0,0.0,0,1,2025-02-21,10
"15,5 tỷ","~258,33 triệu/m²",60.0,Cầu Giấy,3 tầng,3 phòng,4 phòng,0,4.5,1,0,2025-02-21,3
Thỏa thuận,,88.0,Đan Phượng,,4 phòng,4 phòng,0,0.0,1,0,2025-02-21,24
30 tỷ,"~218,98 triệu/m²",137.0,Cầu Giấy,6 tầng,8 phòng,8 phòng,0,7.0,1,1,2025-02-21,3
"2,7 tỷ","~67,5 triệu/m²",40.0,Hà Đông,3 tầng,3 phòng,3 phòng,0,3.5,1,1,2025-02-21,9
"7,88 tỷ","~68,52 triệu/m²",115.0,Hai Bà Trưng,,2 phòng,3 phòng,0,0.0,1,1,2025-02-21,5
"3,85 tỷ","~74,04 triệu/m²",52.0,Hai Bà Trưng,,1 phòng,1 phòng,0,0.0,1,1,2025-02-21,5
20 tỷ,"~266,67 triệu/m²",75.0,Đông Anh,5 tầng,4 phòng,6 phòng,1,5.0,1,1,2025-02-22,25
85 triệu/m²,"~11,39 tỷ",134.0,Hoàng Mai,,,,0,0.0,0,0,2025-02-22,8
60 tỷ,"~253,16 triệu/m²",237.0,Gia Lâm,,,,0,30.0,1,0,2025-02-22,4
"2,2 tỷ","~47,83 triệu/m²",46.0,Gia Lâm,,1 phòng,1 phòng,1,0.0,0,1,2025-02-22,4
"2,6 tỷ","~44,07 triệu/m²",59.0,Gia Lâm,,1 phòng,2 phòng,0,0.0,1,0,2025-02-22,4
15 tỷ,"~172,41 triệu/m²",87.0,Hà Đông,,,,1,5.0,1,1,2025-02-22,9
"3,4 tỷ","~41,46 triệu/m²",82.0,Gia Lâm,,2 phòng,3 phòng,1,0.0,0,1,2025-02-22,4
"3,49 tỷ","~55,4 triệu/m²",63.0,Chương Mỹ,4 tầng,2 phòng,3 phòng,1,4.0,1,1,2025-02-22,2
90 tỷ,"~343,51 triệu/m²",262.0,Nam Từ Liêm,,,,0,20.0,1,0,2025-02-22,12
19 tỷ,"~211,11 triệu/m²",90.0,Thanh Xuân,4 tầng,2 phòng,4 phòng,0,6.0,1,1,2025-02-22,20
"8,2 tỷ","~78,85 triệu/m²",104.0,Nam Từ Liêm,,2 phòng,3 phòng,1,0.0,1,1,2025-02-22,12
15 tỷ,"~187,5 triệu/m²",80.0,Hà Đông,5 tầng,5 phòng,5 phòng,0,5.0,1,1,2025-02-22,9
"8,67 tỷ","~75,36 triệu/m²",115.0,Nam Từ Liêm,,2 phòng,3 phòng,1,0.0,1,1,2025-02-22,12
"4,3 tỷ","~78,18 triệu/m²",55.0,Nam Từ Liêm,,2 phòng,2 phòng,0,0.0,1,1,2025-02-22,12
"2,67 tỷ","~56,81 triệu/m²",47.0,Hoàng Mai,,2 phòng,2 phòng,1,0.0,1,1,2025-02-22,8
"17,8 tỷ",~178 triệu/m²,100.0,Hà Đông,4 tầng,,,1,5.0,1,0,2025-02-22,9
"7,1 tỷ","~202,86 triệu/m²",35.0,Hoàng Mai,5 tầng,4 phòng,3 phòng,0,6.0,1,1,2025-02-22,8
150 triệu/m²,~6 tỷ,40.0,Hai Bà Trưng,5 tầng,3 phòng,3 phòng,0,3.6,1,1,2025-02-22,5
"4,63 tỷ","~42,09 triệu/m²",110.0,Đan Phượng,,2 phòng,3 phòng,1,0.0,1,1,2025-02-22,24
"5,8 tỷ","~41,43 triệu/m²",140.0,Hà Đông,,2 phòng,3 phòng,0,0.0,1,1,2025-02-22,9
"7,8 tỷ","~89,19 triệu/m²",87.45,Nam Từ Liêm,,2 phòng,2 phòng,0,0.0,1,1,2025-02-22,12
13 tỷ,"~112,07 triệu/m²",116.0,Ba Đình,,2 phòng,3 phòng,0,0.0,1,1,2025-02-22,0
15 tỷ,"~159,57 triệu/m²",94.0,Thanh Xuân,5 tầng,8 phòng,9 phòng,1,4.0,1,1,2025-02-22,20
4 tỷ,"~60,61 triệu/m²",66.0,Nam Từ Liêm,,2 phòng,2 phòng,0,0.0,1,0,2025-02-23,12
29 tỷ,~725 triệu/m²,40.0,Hoàn Kiếm,4 tầng,3 phòng,3 phòng,0,5.0,1,0,2025-02-23,7
11 tỷ,"~314,29 triệu/m²",35.0,Bắc Từ Liêm,4 tầng,4 phòng,4 phòng,0,5.0,1,1,2025-02-23,1
20 tỷ,"~181,82 triệu/m²",110.0,Ba Đình,,2 phòng,3 phòng,1,0.0,1,1,2025-02-23,0
"8,8 tỷ","~53,66 triệu/m²",164.0,Nam Từ Liêm,,3 phòng,4 phòng,1,0.0,0,1,2025-02-23,12
28 tỷ,"~164,71 triệu/m²",170.0,Hà Đông,4 tầng,6 phòng,5 phòng,1,9.0,1,1,2025-02-23,9
Thỏa thuận,,65.0,Nam Từ Liêm,,2 phòng,2 phòng,0,0.0,1,1,2025-02-23,12
"9,2 tỷ",~230 triệu/m²,40.0,Cầu Giấy,4 tầng,3 phòng,4 phòng,0,0.0,1,0,2025-02-23,3
Thỏa thuận,,320.0,Tây Hồ,,4 phòng,4 phòng,1,14.0,1,0,2025-02-23,23
"9,2 tỷ",~92 triệu/m²,100.0,Nam Từ Liêm,,2 phòng,3 phòng,0,0.0,1,1,2025-02-23,12
750 triệu/m²,"~127,58 tỷ",170.1,Nam Từ Liêm,4 tầng,4 phòng,4 phòng,1,10.0,1,1,2025-02-23,12
"8,5 tỷ","~223,68 triệu/m²",38.0,Cầu Giấy,5 tầng,4 phòng,3 phòng,1,4.2,1,0,2025-02-23,3
"17,3 tỷ",~346 triệu/m²,50.0,Hoàng Mai,7 tầng,,,0,0.0,1,1,2025-02-23,8
"22,6 tỷ",~226 triệu/m²,100.0,Nam Từ Liêm,5 tầng,5 phòng,6 phòng,1,5.0,1,1,2025-02-23,12
56 triệu/m²,~14 tỷ,250.0,Thạch Thất,3 tầng,,,0,0.0,0,0,2025-02-23,22
"20,44 tỷ","~326,98 triệu/m²",62.5,Đông Anh,5 tầng,5 phòng,6 phòng,1,5.0,1,1,2025-02-23,25
Thỏa thuận,,320.0,Tây Hồ,4 tầng,,,1,15.5,1,1,2025-02-23,23
38 tỷ,"~211,11 triệu/m²",180.0,Hà Đông,4 tầng,6 phòng,5 phòng,1,9.0,1,1,2025-02-23,9
Thỏa thuận,,64.0,Gia Lâm,,2 phòng,2 phòng,1,0.0,1,1,2025-02-24,4
12 tỷ,"~146,34 triệu/m²",82.0,Thường Tín,5 tầng,3 phòng,4 phòng,1,5.0,1,1,2025-02-24,21
64 triệu/m²,"~7,49 tỷ",117.0,Gia Lâm,,3 phòng,3 phòng,1,0.0,1,1,2025-02-24,4
"5,6 tỷ",~70 triệu/m²,80.0,Nam Từ Liêm,,2 phòng,2 phòng,1,0.0,1,1,2025-02-24,12
78 triệu/m²,"~6,11 tỷ",78.3,Cầu Giấy,,2 phòng,2 phòng,1,0.0,1,1,2025-02-24,3
"6,5 tỷ","~60,18 triệu/m²",108.0,Hai Bà Trưng,,2 phòng,3 phòng,1,0.0,1,1,2025-02-24,5
"7,49 tỷ","~234,06 triệu/m²",32.0,Hoàng Mai,4 tầng,3 phòng,5 phòng,0,0.0,1,1,2025-02-24,8
"6,5 tỷ","~81,25 triệu/m²",80.0,Hoàng Mai,,2 phòng,2 phòng,1,0.0,1,1,2025-02-24,8
52 triệu/m²,"~5,1 tỷ",98.0,Hoàng Mai,,2 phòng,3 phòng,1,0.0,1,0,2025-02-24,8
"7,6 tỷ","~223,53 triệu/m²",34.0,Hoàng Mai,5 tầng,4 phòng,4 phòng,1,4.0,1,0,2025-02-24,8
"2,7 tỷ","~84,38 triệu/m²",32.0,Đống Đa,,,,0,0.0,0,1,2025-02-24,26
"3,75 tỷ","~52,82 triệu/m²",71.0,Thanh Trì,,2 phòng,2 phòng,1,0.0,1,1,2025-02-24,19
"17,3 tỷ","~192,22 triệu/m²",90.0,Long Biên,,,,1,11.2,1,0,2025-02-24,10
19 tỷ,"~253,33 triệu/m²",75.0,Đông Anh,5 tầng,3 phòng,4 phòng,1,5.0,1,1,2025-02-24,25
Thỏa thuận,,234.0,Long Biên,4 tầng,,,0,16.0,1,0,2025-02-24,10
Thỏa thuận,,94.0,Thanh Xuân,,2 phòng,3 phòng,1,0.0,1,1,2025-02-24,20
"1,09 tỷ","~31,14 triệu/m²",35.0,Nam Từ Liêm,,1 phòng,1 phòng,0,0.0,1,1,2025-02-24,12
Thỏa thuận,,500.0,Nam Từ Liêm,,5 phòng,,0,0.0,1,1,2025-02-24,12
168 triệu/m²,"~10,08 tỷ",60.0,Nam Từ Liêm,,,,0,0.0,1,1,2025-02-24,12
Thỏa thuận,,114.0,Nam Từ Liêm,,,3 phòng,0,0.0,0,0,2025-02-24,12
"22,8 tỷ","~225,74 triệu/m²",101.0,Hai Bà Trưng,,,,0,3.0,0,0,2025-02-24,5
"31,8 tỷ","~461,54 triệu/m²",68.9,Cầu Giấy,3 tầng,,3 phòng,0,5.1,1,0,2025-02-24,3
"4,15 tỷ","~48,82 triệu/m²",85.0,Đông Anh,,2 phòng,3 phòng,1,0.0,1,1,2025-02-24,25
Thỏa thuận,,75.0,Đông Anh,5 tầng,6 phòng,6 phòng,1,5.0,1,1,2025-02-24,25
"8,2 tỷ","~143,86 triệu/m²",57.0,Ba Đình,4 tầng,3 phòng,5 phòng,0,4.2,1,1,2025-02-24,0
13 tỷ,"~89,66 triệu/m²",145.0,Hoài Đức,,4 phòng,3 phòng,1,0.0,1,1,2025-02-24,6
"26,5 tỷ",~265 triệu/m²,100.0,Nam Từ Liêm,5 tầng,5 phòng,5 phòng,1,6.0,1,0,2025-02-24,12
2 tỷ,"~57,14 triệu/m²",35.0,Thanh Oai,3 tầng,3 phòng,4 phòng,0,0.0,1,1,2025-02-24,18
21 tỷ,~420 triệu/m²,50.0,Hoàng Mai,6 tầng,,,0,0.0,1,0,2025-02-24,8
"17,5 tỷ","~182,29 triệu/m²",96.0,Đan Phượng,5 tầng,5 phòng,6 phòng,1,8.0,1,1,2025-02-24,24
Thỏa thuận,,54.0,Hà Đông,,1 phòng,2 phòng,0,0.0,1,1,2025-02-24,9
"7,5 tỷ",~150 triệu/m²,50.0,Thanh Xuân,3 tầng,3 phòng,3 phòng,1,5.0,1,1,2025-02-24,20
"12,79 tỷ","~319,75 triệu/m²",40.0,Ba Đình,5 tầng,4 phòng,6 phòng,1,3.5,1,1,2025-02-24,0
200 triệu/m²,~9 tỷ,45.0,Tây Hồ,4 tầng,4 phòng,3 phòng,0,0.0,1,0,2025-02-24,23
"20,5 tỷ","~246,99 triệu/m²",83.0,Thanh Trì,5 tầng,6 phòng,6 phòng,0,5.0,1,1,2025-02-24,19
"7,45 tỷ","~206,94 triệu/m²",36.0,Bắc Từ Liêm,6 tầng,4 phòng,3 phòng,1,5.0,1,1,2025-02-24,1
75 tỷ,"~604,84 triệu/m²",124.0,Ba Đình,5 tầng,6 phòng,4 phòng,1,12.5,1,1,2025-02-24,0
7 tỷ,"~59,32 triệu/m²",118.0,Nam Từ Liêm,,2 phòng,3 phòng,1,0.0,1,1,2025-02-24,12
"12,9 tỷ","~113,16 triệu/m²",114.0,Đống Đa,,2 phòng,3 phòng,0,0.0,1,1,2025-02-24,26
17 tỷ,"~212,5 triệu/m²",80.0,Thường Tín,5 tầng,,,0,5.0,1,1,2025-02-24,21
45 tỷ,"~199,56 triệu/m²",225.5,Hà Đông,4 tầng,,,0,11.0,0,0,2025-02-25,9
"27,5 tỷ",~220 triệu/m²,125.0,Hà Đông,,,,1,5.0,0,0,2025-02-25,9
Thỏa thuận,,77.5,Ba Đình,,2 phòng,2 phòng,1,0.0,1,1,2025-02-25,0
